Dataset,Method,R@1,R@1_std,R@5,R@5_std,R@10,R@10_std
MS-COCO,CLIP-ViT,58.3,0.4,83.1,0.3,91.4,0.2
MS-COCO,BLIP,61.5,0.3,85.2,0.2,92.8,0.2
MS-COCO,VSE++,59.8,0.5,83.8,0.4,91.6,0.3
MS-COCO,SCAN,61.2,0.4,84.8,0.3,92.1,0.3
MS-COCO,CHAN,63.0,0.3,86.1,0.2,93.2,0.2
MS-COCO,SGA-Ours,64.2,0.3,87.3,0.2,93.9,0.2
Flickr30k,CLIP-ViT,72.1,0.5,90.3,0.3,94.8,0.2
Flickr30k,BLIP,75.3,0.4,92.1,0.2,95.9,0.2
Flickr30k,VSE++,73.5,0.5,91.2,0.3,95.2,0.2
Flickr30k,SCAN,74.8,0.4,91.6,0.3,95.5,0.2
Flickr30k,CHAN,76.9,0.3,92.8,0.2,96.3,0.2
Flickr30k,SGA-Ours,78.5,0.3,93.5,0.2,96.8,0.1
CUB-200,CLIP-ViT,28.5,0.8,56.2,0.6,71.3,0.5
CUB-200,BLIP,32.1,0.7,60.5,0.5,75.8,0.4
CUB-200,VSE++,29.8,0.8,57.3,0.6,72.1,0.5
CUB-200,SCAN,33.5,0.7,61.2,0.5,76.4,0.4
CUB-200,CHAN,36.2,0.6,64.8,0.4,79.1,0.3
CUB-200,SGA-Ours,38.8,0.6,67.5,0.4,81.3,0.3
